"siteid","Name","burned","yr_septosep","tot_vis","pred","pctdiff","diff"
"CRG_002","Oneonta Gorge","yes",2018,0,82121.3307718,-1,-82121.3307718
"CRG_002","Oneonta Gorge","yes",2019,0,82296.2046963089,-1,-82296.2046963089
"CRG_004","Horsetail Creek","yes",2018,0,2771.58662955748,-1,-2771.58662955748
"CRG_004","Horsetail Creek","yes",2019,0,2777.48860686924,-1,-2777.48860686924
"CRG_005","Nesmith Point, McCord, Elowa Falls","yes",2018,0,24772.4460286937,-1,-24772.4460286937
"CRG_005","Nesmith Point, McCord, Elowa Falls","yes",2019,0,24825.1979119865,-1,-24825.1979119865
"CRG_006","Munra Falls","yes",2018,0,62428.6278894396,-1,-62428.6278894396
"CRG_006","Munra Falls","yes",2019,2271,62561.5670303197,-0.963699758369233,-60290.5670303197
"CRG_007","Tanner Butte","yes",2018,0,2273.6004409504,-1,-2273.6004409504
"CRG_007","Tanner Butte","yes",2019,0,2278.4419775906,-1,-2278.4419775906
"CRG_008","Eagle Creek","yes",2018,0,59108.4043847912,-1,-59108.4043847912
"CRG_008","Eagle Creek","yes",2019,0,59234.2732491786,-1,-59234.2732491786
"CRG_009","Indian Springs","yes",2018,0,1734.90435479558,-1,-1734.90435479558
"CRG_009","Indian Springs","yes",2019,0,1738.59876074735,-1,-1738.59876074735
"CRG_010","Ruckel Creek","yes",2018,0,2947.68060499648,-1,-2947.68060499648
"CRG_010","Ruckel Creek","yes",2019,0,2953.95756703241,-1,-2953.95756703241
"CRG_011","Coyote Wall area","no",2018,4628,5321.16230620936,-0.130265206419375,-693.162306209357
"CRG_011","Coyote Wall area","no",2019,18346,5332.49349783387,2.44041675952392,13013.5065021661
"CRG_012","Catherine Creek area","no",2018,1646,4668.38383296434,-0.647415452778907,-3022.38383296434
"CRG_012","Catherine Creek area","no",2019,2208,4678.32496024895,-0.528036205530599,-2470.32496024895
"CRG_013","Cherry Orchard FCG trail","no",2018,1598,1334.90594284407,0.197088085918172,263.09405715593
"CRG_013","Cherry Orchard FCG trail","no",2019,2173,1337.74856897886,0.624371014396761,835.251431021144
"CRG_014","Tom McCall TNC trail","no",2018,26097,8542.92466330037,2.05480863153462,17554.0753366996
"CRG_014","Tom McCall TNC trail","no",2019,30829,8561.11646253955,2.6010490144477,22267.8835374605
"CRG_015","Crawford Oaks WDNR","no",2018,1138,2174.66592249149,-0.476701231103945,-1036.66592249149
"CRG_015","Crawford Oaks WDNR","no",2019,2360,2179.29678223022,0.0829181317768282,180.703217769783
"CRG_016","Mosier Plateau FCG trail","no",2018,1285,4307.67520563161,-0.701695244265384,-3022.67520563161
